Comment,Designator,Footprint,LCSC Part #
470Ω 0402 1%,"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53",0402,C25117
100nF 0402 16V,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10",0402,C307331
74LVC245A SOIC-20W,"U1,U2,U3",SOIC-20W,C6393
Pin header 2x40 2.54mm vertical,J2,THT,C2905918
74HC165D SOIC-16,"U4,U5,U6,U7,U8,U9,U10",SOIC-16,C5613
Pin socket 2x32 2.54mm vertical,"J1,J3",THT,C2905394
10µF 0805 16V,C11,0805,C15850
microSD slot Molex 47219-2001,J4,SMD,C585353
